HER (-8.5358425243895795, 'has_photo')
HER (-4.7039869505035634, 'has_video')
HER (-3.1450394790762348, 'has_animated_gif')
HER (-2.9876235227565822, 'wolf')
HER (-2.9385148128043439, 'labour')
HER (-2.8022989931428257, 'trump')
HER (-2.684784092219076, 'fullrepeal')
HER (-2.6725575799729144, 'bernie')
HER (-2.5639968540921072, 'demdebate')
HER (-2.309261685815541, 'wall')
HER (-2.2764700242739417, 'tasmania')
HER (-2.2635105743604913, 'differ_yes')
HER (-2.2423880500671411, 'america')
HER (-2.2110713633100461, 'sw')
HER (-2.1612120454726216, 'people')
HER (-2.1319867394450003, 'pennsylvania')
HER (-2.1281325553365047, 'choosecruz')
HER (-2.1069913672667688, 'gopdebate')
HER (-2.0517248280135609, 'auspol')
HER (-2.0212073150891898, 'israel')
HER (-2.000820617306629, 'canada')
HER (-1.9937693254877784, 'sanders')
HER (-1.955450638006567, 'tourism')
HER (-1.9159822108951912, 'trump2016')
HER (-1.8852829445013344, 'americans')
HER (-1.8838015508677537, 'vote')
HER (-1.8802096758323465, 'cuba')
HER (-1.8470848250625047, 'britain')
HER (-1.8453858169620532, 'brussels')
HER (-1.8300700921103732, 'register')
HER (-1.8133660774594971, 'certain_yes')
HER (-1.8123795798396098, 'festivus')
HER (-1.8032261025055598, 'political')
HER (-1.7981667721680337, 'cruztovictory')
HER (-1.7851305648214464, 'demtownhall')
HER (-1.7779652242529596, 'remember')
HER (-1.7460783698025033, 'pmqs')
HER (-1.7360035124212567, 'prayers')
HER (-1.7290043168014104, 'women')
HER (-1.723506516114119, 'tw')
HER (-1.7210442145336939, 'appalling')
HER (-1.714954350850173, 'debt')
HER (-1.7056166207337282, 'glasgow')
HER (-1.6851386010403209, 'discrep_yes')
HER (-1.6759522365986961, 'ireland')
HER (-1.6718635379835249, 'campaign')
HER (-1.6577687324398913, 'asone')
HER (-1.6526739306018481, 'irs')
HER (-1.6458949074499667, 'interests')
HER (-1.6337033042165976, 'happy')
HER (-1.6208710697730384, 'pa')
HER (-1.6156500389498427, 'announce')
HER (-1.577424852682124, 'florida')
