HER (-2.9601121341542989, 'demdebate')
HER (-2.6815920086487197, 'labour')
HER (-2.6547210285601963, 'gopdebate')
HER (-2.6193966953262935, 'bernie')
HER (-2.5836237833920159, 'people')
HER (-2.5370691150959486, 'trump')
HER (-2.525743660231897, 'fullrepeal')
HER (-2.5091799412293074, 'wolf')
HER (-2.3664833283810176, 'tasmania')
HER (-2.3586617096031497, 'canada')
HER (-2.3390987605567708, 'demtownhall')
HER (-2.3064590732644072, 'trump2016')
HER (-2.2774384292139094, 'americans')
HER (-2.2652607726894609, 'choosecruz')
HER (-2.2277695025499642, 'makeamericagreatagain')
HER (-2.214278925647847, 'sw')
HER (-2.2003376563364645, 'tw')
HER (-2.1744463986377163, 'retweet')
HER (-2.153816697079606, 'pennsylvania')
HER (-2.0934117952406046, 'auspol')
HER (-2.0931386055829271, 'wall')
HER (-2.0434955067315483, 'america')
HER (-2.0273693158741062, 'pa')
HER (-2.0248874789609861, 'festivus')
HER (-1.9826434337810959, 'pmqs')
HER (-1.9669292471690174, 'let')
HER (-1.9243346582792396, 'leadersdebate')
HER (-1.9119422092777203, 'president')
HER (-1.8911141455060436, 'remember')
HER (-1.8852314648556716, 'appalling')
HER (-1.8577144147367848, 'glasgow')
HER (-1.8398254489663777, 'ireland')
HER (-1.8381039483015489, 'debt')
HER (-1.8311373697992781, 'tourism')
HER (-1.8253551615969554, 'florida')
HER (-1.8234777508145363, 'britain')
HER (-1.8028636334921144, 'brussels')
HER (-1.7968849473637114, 'prayers')
HER (-1.7859508782603646, 'country')
HER (-1.7847356253646693, 'mili')
HER (-1.7474313643308559, 'vote')
HER (-1.7155369105336886, 'scotland')
HER (-1.7153869689253327, 'political')
HER (-1.7128770933508826, 'tassie')
HER (-1.706787881932134, 'women')
HER (-1.6963624718171018, 'campaign')
HER (-1.6866906485938047, 'tories')
HER (-1.685647653254674, 'woman')
HER (-1.6794428563120862, 'thebachelorau')
HER (-1.6684117827071423, 'israel')
HER (-1.6647807435598294, 'ge16')
HER (-1.6621526072750712, 'cruz')
HER (-1.6474459904578629, 'asone')
HER (-1.6411394021237595, 'cameron')
HER (-1.6274917219286336, 'end')
HER (-1.6144997996733259, 'mental health')
HER (-1.6127741299004625, 'unacceptable')
HER (-1.6104127345012451, 'tory')
HER (-1.6062571098595257, 'ge15')
HER (-1.6023687274406704, 'voting')
HER (-1.5998291186571281, 'governor wolf')
HER (-1.5985983403701922, 'cuba')
HER (-1.5983631243662741, 'white house')
HER (-1.5885983218053761, 'skw')
HER (-1.5810814495537757, 'irs')
HER (-1.5783535268455351, 'cantafford4more')
HER (-1.5741263120338871, 'carolina')
HER (-1.5689957167983248, 'paproud')
HER (-1.5673833894268525, 'stand')
HER (-1.5647367199885733, 'democracy')
HER (-1.5632197231752909, 'walker16')
HER (-1.5550908618247314, 'liberty')
HER (-1.5473427935874957, 'single')
HER (-1.5451555241321422, 'scotus')
HER (-1.5404596322858302, 'gov wolf')
HER (-1.5199571797550171, 'sanders')
HER (-1.5177850051168098, 'marijuana')
HER (-1.5167461556959394, 'votetrump')
HER (-1.5110689290942567, 'equality')
HER (-1.5042500910419565, 'abbott')
HER (-1.5029237758993459, 'thank support')
HER (-1.500114172714996, 'wall street')
HER (-1.498881869972756, 'corporate')
HER (-1.4984338208549073, 'stopobamasamnesty')
HER (-1.4963665668264423, 'politician')
HER (-1.4950120459309009, 'tonight')
HER (-1.4929822297672684, 'need')
HER (-1.49297029213814, 'asking')
HER (-1.4880910665806115, 'income')
HER (-1.4797216178748642, 'millions')
HER (-1.4649273532855938, 'tax')
HER (-1.4642406412148068, 'maryland')
HER (-1.4631394135945213, 'iowa')
HER (-1.4630099366318268, 'corporations')
HER (-1.4622752622429063, 'delighted')
HER (-1.454266585586256, 'malley')
HER (-1.4537479849443238, 'marriage')
HER (-1.4489776369838629, 'supertuesday')
HER (-1.4260908310422555, 'believe')
HER (-1.4236407344622362, 'eu')
LER (2.7317056046602546, 'krudd')
LER (2.5887521863122971, 'pm')
LER (2.5610619425539296, 'gomitt')
LER (2.3993580947984636, 'va')
LER (2.3967145646154822, 'discuss')
LER (2.3157336099116774, 'pointsoflight')
LER (2.0978556925019363, 'manly')
LER (2.0845498338807031, 'leadontrade')
LER (2.0720651521817066, 'president obama')
LER (1.9565559092511939, 'nyc')
LER (1.9519348669720666, 'book')
LER (1.9398866537060251, 'thanks')
LER (1.9119997196137852, 'excellent')
LER (1.9031440029695124, 'discussion')
LER (1.8969303870009246, 'imp')
LER (1.8201430444637048, 'kr')
LER (1.7527804148872084, 'askboris')
LER (1.721046079976061, 'india')
LER (1.707561021427846, 'helping')
LER (1.6395163451546328, 'ndaa')
LER (1.6262530058138944, 'today pointsoflight')
LER (1.6131743886596819, 'blogged')
LER (1.6120906084679485, '2011')
LER (1.6088141565776606, 'actonclimate')
LER (1.6084556210070662, 'icymi')
LER (1.5948298433761043, 'epa')
LER (1.5940440033293204, 'cures2015')
LER (1.5777239684368762, 'kindness')
LER (1.5589754559899864, 'media release')
LER (1.5533420780964939, 'johnson')
LER (1.544598200504895, 'getcovered')
LER (1.531636845215427, 'foundation')
LER (1.5278147936028266, 'local')
LER (1.5165871471412566, 'islington')
LER (1.5114621732404829, 'tobefair')
LER (1.5005918407541257, 'oh08')
LER (1.4965020057800438, 'delhi')
LER (1.4876159291180051, 'shri')
LER (1.4875215088988789, 'read')
LER (1.4841952802583147, 'mitt2012')
LER (1.4724727800859476, 'indian')
LER (1.4580206566634621, 'post')
LER (1.4569211619394287, 'house')
LER (1.4336173716389875, 'lateline')
LER (1.42463212236584, 'discussing')
LER (1.4190771601387671, 'sea')
LER (1.4161092105291759, 'politas')
LER (1.4117399916071673, 'buildingbritain')
LER (1.404592299634609, 'thiruvananthapuram')
LER (1.3918295305581441, 'minister')
LER (1.3610842594496806, 'interview')
LER (1.3534259447550498, 'photos')
LER (1.350734302914147, 'survey')
LER (1.347502918196255, 'ny21')
LER (1.3386936741678477, 'live')
LER (1.3372236493352228, 'views')
LER (1.3318707375639616, 'kerala')
LER (1.3250735016825159, 'opening')
LER (1.3241046986162601, 'vietnam')
LER (1.3161806697029013, 'london')
LER (1.3128641908764729, 'stmt')
LER (1.3121445388323225, 'state labor')
LER (1.3028980938943575, 'let know')
LER (1.3013051376425302, 'bjp')
LER (1.2879640303491826, 'arizona')
LER (1.284283843481292, '2012')
LER (1.2794028674452553, 'december')
LER (1.2776026326326499, '30pet')
LER (1.2765332199711701, 'podcast')
LER (1.2664262344002566, 'park')
LER (1.2630045266853984, 'getbritainworking')
LER (1.2628402108643286, 'tx23')
LER (1.2594031417140497, 'lasting')
LER (1.2583193857368273, 'director')
LER (1.257331247320719, 'covered')
LER (1.2541148080271425, 'critical')
LER (1.2494017824098205, 'nsw')
LER (1.2480635028198994, 'water')
LER (1.2447703322497206, 'potential')
LER (1.2430802508338419, 'sydney')
LER (1.2346358182496266, 'locals')
LER (1.2323965644376282, 'co06')
LER (1.22306280638863, 'nbn')
LER (1.2170516967164284, 'impact')
LER (1.2116302476348559, 'president obama irandeal')
LER (1.2116302476348559, 'obama irandeal')
LER (1.2093457197337447, 'mi01')
LER (1.2070854564752309, 'speaking')
LER (1.2045659646839839, 'forum')
LER (1.2024562326763659, 'takeaways')
LER (1.202384493674699, 'nathan')
LER (1.1963007133830006, 'surprised')
LER (1.1957443611128631, 'et')
LER (1.1903005744074706, 'congressman')
LER (1.1897357140508515, 'enrollment')
LER (1.1887172882464943, 'fundraising')
LER (1.1864546501102522, 'follow')
LER (1.1859152813576792, 'live president')
LER (1.184347540887543, 'address')
LER (1.1832762291930925, 'film')
