HER (-2.2868815605846082, 'differ_yes')
HER (-1.810886470929592, 'discrep_yes')
HER (-1.5065579028552321, 'certain_yes')
HER (-1.1488524142171588, 'anger_yes')
HER (-0.85495199168460423, 'power_yes')
HER (-0.80363267544252426, 'negemo_yes')
HER (-0.71985648873039276, 'is_analytic_no')
HER (-0.675632434788345, 'cause_yes')
HER (-0.67127063774857398, 'is_clout_yes')
HER (-0.62025866760089743, 'risk_yes')
HER (-0.49014397996219722, 'sad_yes')
HER (-0.42335174353437555, 'affiliation_yes')
HER (-0.34261714497755746, 'is_tone_no')
HER (-0.3331808769721703, 'insight_yes')
HER (-0.28150975885943874, 'is_clout_no')
HER (-0.24557145383018894, 'posemo_yes')
HER (-0.1529977171675741, 'anx_yes')
HER (-0.11118336683345777, 'reward_yes')
HER (-0.10304664746645728, 'swear_yes')
HER (-0.038388366278102395, 'achieve_yes')
HER (-0.020169803997661707, 'filler_yes')
HER (-0.0081949344871172607, 'is_authentic_no')
LER (1.0678539707404968, 'is_analytic_yes')
LER (1.0527361354675442, 'nonflu_yes')
LER (0.79329833506143566, 'netspeak_yes')
LER (0.73843059703475089, 'assent_yes')
LER (0.73639518107469992, 'is_tone_yes')
LER (0.66866950451357976, 'hear_yes')
LER (0.45141099469618062, 'is_authentic_yes')
LER (0.39834130729032197, 'see_yes')
LER (0.34298736474172825, 'feel_yes')
LER (0.0055726047496294107, 'tentat_yes')
