Fri Jul 17 11:43:40 +0000 2015,Physics and music collide at the @MontreuxJazz Festival #Mjf15 http://t.co/6pw1I74McC,1212813,87,91
Fri Jul 17 08:28:05 +0000 2015,"Intellectual property under the spotlight in today's @WIPO CERN webcast at 11am CEST http://t.co/yKxNXvhUO6
More info http://t.co/7n6LZ9x2Oa",1212813,36,36
Thu Jul 16 10:11:32 +0000 2015,CERN &amp; Sri Lanka develop partnership to enable more Sri Lankan scientists &amp; teachers to take part in CERN programmes http://t.co/G2yUwd1J4w,1212813,64,53
Wed Jul 15 13:35:50 +0000 2015,Just 1 week to go until #EPSHEP2015 - a major international conference in particle physics: http://t.co/iwFpkCXzPH http://t.co/bZG6KJMVRX,1212813,154,156
Tue Jul 14 07:25:22 +0000 2015,"Pentaquarks! The @LHCbExperiment at CERN discovers a new type of particle made up of 5 quarks http://t.co/Fd9kYtda5b 
http://t.co/h58ookZQeE",1212813,2573,1675
Thu Jul 09 15:51:14 +0000 2015,"#TBT The UA2 experiment ran from 1981 to 1990
http://t.co/xxh1aPwffb
(CERN Courier July 1985 http://t.co/8Nqp1eKGAl) http://t.co/lm0nBNWC6A",1212813,78,104
Tue Jul 07 16:23:23 +0000 2015,Back in collision mode! LHC experiments resume physics data collection http://t.co/npIQpV17Gz http://t.co/mXjY6FKkJA,1212813,406,342
Fri Jul 03 14:41:17 +0000 2015,"In particular, a new @particlepodcast brings you straight to the heart of the @ATLASexperiment http://t.co/XL5rz77YtR http://t.co/CPvXmdXWkk",1212813,156,198
Fri Jul 03 10:57:04 +0000 2015,CERN completes 1st module of a new miniature accelerator with potential medical applications: http://t.co/9yK6A4UkYg http://t.co/Yjrb8g4i8I,1212813,432,422
Thu Jul 02 15:38:10 +0000 2015,"#TBT July 1965 CERN Courier cover showing the heavy-liquid bubble chamber during reassembly
http://t.co/tfWSxs68Pq http://t.co/zly9m33XaB",1212813,43,52
