HER (-1.4309680427836617, 'see_yes')
HER (-0.94602405361164454, 'certain_yes')
HER (-0.77208914387652239, 'posemo_yes')
HER (-0.73329604257082071, 'nonflu_yes')
HER (-0.53449916650403118, 'differ_yes')
HER (-0.37508656436056009, 'netspeak_yes')
HER (-0.36527598012476248, 'is_clout_no')
HER (-0.23842520214024202, 'affiliation_yes')
HER (-0.18383100039719114, 'swear_yes')
HER (-0.1689711602148796, 'negemo_yes')
HER (-0.15663622583139736, 'filler_yes')
HER (-0.11566048675548429, 'is_analytic_no')
HER (-0.083654210830654982, 'anger_yes')
HER (-0.058961721098775004, 'is_authentic_no')
HER (-0.039779027056494151, 'insight_yes')
HER (-0.0387701356555816, 'feel_yes')
HER (-0.0082364385805239158, 'anx_yes')
LER (1.8734421880763938, 'assent_yes')
LER (1.0429984294994197, 'is_clout_yes')
LER (0.82077239628553489, 'is_tone_yes')
LER (0.72782241769346168, 'is_authentic_yes')
LER (0.65173993890274251, 'hear_yes')
LER (0.63668123955204348, 'reward_yes')
LER (0.47089436581156441, 'cause_yes')
LER (0.43778977028376126, 'risk_yes')
LER (0.2654645542491138, 'achieve_yes')
LER (0.24246962841864284, 'power_yes')
LER (0.089673470346429821, 'tentat_yes')
LER (0.081905631996031847, 'discrep_yes')
LER (0.041337784982338116, 'is_analytic_yes')
LER (0.027773777454689015, 'is_tone_no')
LER (0.016703431773411166, 'sad_yes')
