tweet,label
is_analytic_no is_clout_no is_authentic_no is_tone_no negemo_yes discrep_yes certain_yes swear_yes few_sixltr low_wps none,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes certain_yes differ_yes reward_yes low_wps has_hashtag,HER
is_analytic_no is_authentic_no certain_yes has_hashtag,HER
is_analytic_yes is_authentic_yes cause_yes power_yes many_sixltr has_exclam none,HER
insight_yes cause_yes tentat_yes differ_yes affiliation_yes none,HER
is_analytic_no is_authentic_no many_sixltr low_wps none,HER
is_authentic_no posemo_yes negemo_yes anger_yes cause_yes power_yes reward_yes netspeak_yes many_sixltr has_video has_hashtag has_url,HER
is_analytic_no is_clout_no is_authentic_no cause_yes certain_yes assent_yes many_sixltr low_wps has_exclam none,HER
is_analytic_yes is_authentic_yes power_yes many_sixltr has_hashtag,HER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes insight_yes netspeak_yes many_sixltr has_photo has_hashtag has_url,HER
is_analytic_yes is_authentic_no netspeak_yes has_photo has_hashtag has_url,HER
is_analytic_yes is_authentic_no posemo_yes see_yes feel_yes power_yes netspeak_yes few_sixltr high_wps has_photo has_url,HER
is_tone_yes posemo_yes see_yes affiliation_yes reward_yes few_sixltr high_wps has_hashtag,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes reward_yes many_sixltr low_wps has_hashtag,HER
is_authentic_no netspeak_yes low_wps has_photo has_url,HER
is_clout_no posemo_yes insight_yes differ_yes see_yes high_wps has_hashtag,HER
is_analytic_yes is_clout_yes is_authentic_no is_tone_yes posemo_yes hear_yes affiliation_yes netspeak_yes many_sixltr low_wps has_exclam none,HER
is_analytic_no is_clout_yes posemo_yes cause_yes tentat_yes certain_yes differ_yes hear_yes affiliation_yes netspeak_yes has_exclam has_photo has_url,HER
is_analytic_yes is_clout_no is_authentic_yes differ_yes netspeak_yes high_wps has_photo has_url,HER
is_clout_yes is_authentic_no power_yes netspeak_yes has_exclam has_photo has_url,HER
is_clout_yes is_tone_yes posemo_yes affiliation_yes netspeak_yes few_sixltr low_wps has_qmark none,HER
is_authentic_no cause_yes see_yes feel_yes netspeak_yes few_sixltr high_wps has_photo has_url,HER
is_analytic_no is_authentic_no is_tone_yes posemo_yes power_yes assent_yes many_sixltr has_hashtag,HER
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes differ_yes few_sixltr has_hashtag,HER
is_analytic_no is_authentic_no is_tone_yes posemo_yes many_sixltr low_wps none,HER
is_clout_yes is_authentic_no see_yes power_yes netspeak_yes few_sixltr has_photo has_hashtag has_url,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes affiliation_yes power_yes netspeak_yes nonflu_yes has_video has_url,HER
is_analytic_yes is_tone_yes posemo_yes netspeak_yes has_exclam has_photo has_url,HER
is_clout_yes discrep_yes differ_yes affiliation_yes power_yes has_hashtag,HER
is_analytic_yes is_authentic_no is_tone_no negemo_yes sad_yes tentat_yes see_yes affiliation_yes netspeak_yes has_exclam has_photo has_url,HER
is_clout_no is_authentic_yes insight_yes see_yes netspeak_yes few_sixltr has_photo has_hashtag has_url,HER
is_analytic_yes cause_yes power_yes netspeak_yes has_exclam has_photo has_url,HER
is_authentic_yes power_yes many_sixltr low_wps has_exclam has_hashtag,HER
is_clout_yes insight_yes affiliation_yes achieve_yes few_sixltr has_exclam has_hashtag,HER
is_authentic_no is_tone_no posemo_yes negemo_yes discrep_yes hear_yes power_yes netspeak_yes high_wps has_video has_url,HER
is_analytic_yes netspeak_yes many_sixltr has_photo has_url,HER
is_clout_no netspeak_yes nonflu_yes low_wps has_exclam has_photo has_url,HER
insight_yes tentat_yes netspeak_yes high_wps has_hashtag has_url,HER
is_analytic_yes is_authentic_yes power_yes has_exclam has_hashtag,HER
see_yes netspeak_yes has_exclam has_photo has_url,HER
is_clout_no posemo_yes negemo_yes anger_yes tentat_yes netspeak_yes low_wps has_qmark has_photo has_url,HER
is_analytic_yes is_clout_no is_authentic_yes is_tone_no negemo_yes differ_yes swear_yes many_sixltr has_hashtag,HER
is_analytic_yes netspeak_yes few_sixltr has_photo has_url,HER
is_analytic_yes is_tone_yes posemo_yes tentat_yes hear_yes netspeak_yes few_sixltr has_photo has_hashtag has_url,HER
is_analytic_no is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes tentat_yes affiliation_yes achieve_yes power_yes reward_yes few_sixltr has_exclam has_hashtag,HER
tentat_yes netspeak_yes many_sixltr has_photo has_url,HER
is_analytic_yes netspeak_yes has_photo has_url,HER
is_tone_yes posemo_yes cause_yes see_yes affiliation_yes reward_yes netspeak_yes has_exclam has_photo has_hashtag has_url,HER
is_clout_yes posemo_yes negemo_yes insight_yes affiliation_yes netspeak_yes many_sixltr has_photo has_url,HER
netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url,HER
is_analytic_yes is_authentic_no hear_yes netspeak_yes has_photo has_url,HER
certain_yes netspeak_yes high_wps has_photo has_hashtag has_url,HER
is_analytic_no is_authentic_yes insight_yes discrep_yes few_sixltr high_wps has_hashtag,HER
is_analytic_yes is_authentic_yes tentat_yes many_sixltr high_wps has_hashtag,HER
is_analytic_yes is_authentic_yes posemo_yes negemo_yes see_yes affiliation_yes netspeak_yes has_exclam has_qmark has_photo has_url,HER
is_analytic_yes power_yes has_hashtag,HER
is_clout_yes is_authentic_no hear_yes affiliation_yes netspeak_yes has_hashtag has_url,HER
is_analytic_yes is_authentic_no netspeak_yes has_photo has_url,HER
is_authentic_yes cause_yes power_yes netspeak_yes has_photo has_hashtag has_url,HER
is_analytic_yes posemo_yes netspeak_yes has_exclam has_photo has_url,HER
is_analytic_yes power_yes netspeak_yes has_exclam has_photo has_url,HER
is_analytic_no is_clout_no is_authentic_yes is_tone_yes posemo_yes differ_yes reward_yes many_sixltr low_wps has_exclam none,HER
is_analytic_yes is_authentic_yes posemo_yes cause_yes power_yes netspeak_yes few_sixltr has_qmark has_url,HER
is_tone_yes posemo_yes affiliation_yes netspeak_yes few_sixltr has_exclam has_video has_url,HER
is_authentic_no is_tone_yes posemo_yes certain_yes see_yes reward_yes netspeak_yes has_photo has_hashtag has_url,HER
is_analytic_no is_authentic_no see_yes netspeak_yes low_wps has_animated_gif has_url,HER
is_analytic_yes certain_yes power_yes risk_yes netspeak_yes many_sixltr has_photo has_url,HER
certain_yes affiliation_yes netspeak_yes many_sixltr high_wps has_photo has_url,HER
is_clout_yes is_tone_yes posemo_yes cause_yes affiliation_yes power_yes reward_yes netspeak_yes many_sixltr has_exclam has_animated_gif has_hashtag has_url,HER
is_analytic_no insight_yes many_sixltr has_exclam has_hashtag,HER
is_tone_yes posemo_yes certain_yes affiliation_yes power_yes reward_yes netspeak_yes few_sixltr has_exclam has_hashtag has_url,HER
is_analytic_yes is_clout_yes is_authentic_no cause_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url,HER
tentat_yes netspeak_yes high_wps has_photo has_url,HER
is_tone_yes posemo_yes affiliation_yes achieve_yes netspeak_yes has_exclam has_animated_gif has_url,HER
is_clout_no is_tone_yes posemo_yes discrep_yes reward_yes few_sixltr high_wps has_hashtag,HER
is_analytic_yes is_tone_yes posemo_yes netspeak_yes high_wps has_hashtag has_url,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes certain_yes affiliation_yes power_yes netspeak_yes assent_yes many_sixltr has_qmark none,HER
is_analytic_yes is_clout_yes is_authentic_no affiliation_yes achieve_yes netspeak_yes high_wps has_photo has_url,HER
