Source (A)	Source (B)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
#inspirational | via @twisteddoodles https://t.co/7LySiVCZer	HER	99.00	50.00	99.00	99.00	8.00	37.50	12.50	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
VIDEO: Tardigrades wake up from being frozen for 30 years blearily ask for a strong latte | https://t.co/Q63PRUUs6w https://t.co/xqA1JutoEt	HER	99.00	64.99	1.40	89.84	26.00	15.38	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	3.85	0.00	0.00	7.69	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
*groan* https://t.co/wchlqWcWLF	HER	92.84	50.00	1.00	25.77	6.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00
Li-fi internet 100 times faster than Wi-fi arrives in the real world | via @sciencealert https://t.co/q2coUOdEoG https://t.co/aDjuKMjljQ	HER	99.00	35.01	83.83	25.77	26.00	19.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
@red7r Hi Max thanks for reaching out. Can you please email us at sydneysciencefestival[at]maas[dot]museum? Thanks :)	HER	96.54	99.00	15.86	99.00	6.67	10.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00
Three LEDs and a motor make the coolest light ball you'll see today https://t.co/rnRRhGBZLV https://t.co/yOQoy6RnA7	HER	87.57	80.77	1.00	25.77	23.00	13.04	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	8.70	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	0.00	0.00	0.00	0.00
We asked @lisaharveysmith how well she knows her ska bands. (We may have misunderstood her area of expertise) https://t.co/B5MY38FDDk	HER	9.17	99.00	1.00	93.61	11.50	17.39	4.35	0.00	0.00	0.00	0.00	8.70	4.35	0.00	4.35	0.00	0.00	0.00	0.00	0.00	8.70	0.00	4.35	0.00	0.00	0.00	4.35	0.00	4.35	0.00	0.00	0.00
Free (that's right FREE!) programming workshops for the littlies put on by @CodeClubAus | https://t.co/oegRpCjG5x https://t.co/JDVrsz3Lm1	HER	98.12	50.00	9.25	99.00	11.50	26.09	8.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	0.00	0.00	0.00	4.35
Most of our universe is missing! A talk on dark matter by @lisaharveysmith &amp; Tamara Davis | https://t.co/hvdyG5eDb5 https://t.co/WLhj3axH9a	HER	97.77	87.57	1.40	1.00	13.00	19.23	0.00	3.85	0.00	0.00	3.85	0.00	0.00	0.00	3.85	0.00	0.00	3.85	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	3.85
Makers! Marrickville has a huge new Maker Space open to the public | via @concreteplay https://t.co/e7DFWJotTd https://t.co/idqks8mYBT	HER	99.00	66.17	48.89	25.77	12.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	4.17
ICYMI Adam from Mythbusters built a bomb out of screaming ducks and it's as gloriously weird as you'd expect https://t.co/EpAJ906XCj	HER	87.83	79.76	1.00	1.00	24.00	16.67	4.17	8.33	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
Mathematical Translations | via @SMBCComics https://t.co/giW0exVLq1	HER	98.75	50.00	4.97	25.77	9.00	44.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
Spiders! Films! Science! Oh my! Check out this film screening at @AustMus in February | https://t.co/qFCSc3mkck https://t.co/WRwcRGcRN6	HER	96.08	33.83	48.89	25.77	4.80	29.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	4.17	0.00	0.00	16.67
Too much TV as a young adult may impair midlife cognitive function which explains a lot #thinkingishard https://t.co/uWcja6CPRW	HER	87.28	81.84	2.40	25.77	22.00	27.27	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Tomorrow! @lisaharveysmith and Tamara Davis give a light talk on Dark Matter | @newscientist https://t.co/hvdyG5eDb5 https://t.co/nxfCCNhTVo	HER	96.18	80.77	2.02	25.77	11.50	21.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	0.00	0.00	0.00	4.35
60% chance of Killbot Hellscape? I like those odds... | via @xkcdComic https://t.co/c2NcBnzUwp	HER	92.84	26.60	7.84	25.77	5.33	25.00	6.25	6.25	0.00	6.25	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	6.25	0.00
via @fosslien https://t.co/7qK7aaZ0Pa	HER	98.75	50.00	4.97	25.77	9.00	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
Euahlayi Astronomy parallels with Einstein's space-time theory |  https://t.co/SEDxP4mbI9 https://t.co/YJwnY9YZhj	HER	96.85	50.00	4.97	25.77	18.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
Euahlayi Astronomy parallels with Einstein's space-time theory |  https://t.co/SEDxP4mbI9 https://t.co/YJwnY9YZhj	HER	96.85	50.00	4.97	25.77	18.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
Thank you @fakescience for bringing this terrible condition to our attention https://t.co/NqparZ5iol	HER	84.57	99.00	7.84	25.77	16.00	37.50	6.25	6.25	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
Packed house at @maasmuseum for Science Says presented by @TheSciNation https://t.co/2u1ul7vTJF	HER	99.00	72.17	1.00	25.77	17.00	23.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00
Never date a physicist | Saturday Morning Breakfast Cereal #smbc https://t.co/QdgJYfPWsG https://t.co/0i6RMtMChm	HER	86.59	50.00	43.37	25.77	20.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
Looking for a casual night of science chats? Rejoice! @nerdnitesyd is on in Surry Hills in December: https://t.co/X7XA9K8BxO	HER	99.00	67.52	61.34	25.77	7.33	27.27	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	4.55	4.55
A map of the world's scientific collaborations | https://t.co/ZLFqMdFyQG https://t.co/oOhC8T0HOo	HER	99.00	50.00	1.00	25.77	17.00	23.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	0.00	0.00	0.00	0.00
Ready to be mesmerised AND use up your internet? Check out this high-res gif of one day on Earth from 35000km away https://t.co/Xn3qQf2uPO	HER	98.65	76.25	74.76	87.20	14.00	14.29	3.57	0.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	3.57	0.00	0.00	0.00	3.57	0.00
Titanosaurus: scientists unearth biggest dinosaur of all time. OF ALL TIME | via @guardian https://t.co/fddesXPD4K https://t.co/hZPuQyWvPR	HER	99.00	50.00	27.39	25.77	11.50	34.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	4.35	0.00	8.70	0.00	0.00	0.00	0.00	0.00
Science Fiction meets Science Fact @maasmuseum next month with @adelaidesean &amp; @stargazer | https://t.co/DHv5EhUMRw https://t.co/8NbFaODPMx	HER	96.29	67.52	2.40	25.77	22.00	36.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00
@valarie_austin Hi Valerie design is absolutely an important part of science communication. Do you have specific feedback on our design? :)	HER	68.79	99.00	1.00	99.00	7.33	36.36	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	13.64	0.00	4.55	0.00	0.00	0.00	4.55	4.55	0.00	0.00	4.55	0.00
@jackie_randles @dieterhochuli @BiancaNogrady @TheAmyR @astrid_zeman Hi all you can find info about SSF EOI here: https://t.co/JluLt35Onm	HER	68.79	91.35	2.40	25.77	22.00	22.73	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
:( https://t.co/LVA0u8qqL7	HER	92.84	50.00	1.00	1.00	6.00	16.67	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	0.00	0.00
Oooooh! A scanning electron microscopy image of a micro patterned silk surface taken by Konstantinos Tsioris https://t.co/Ic5266ewAQ	HER	99.00	50.00	1.00	25.77	10.50	38.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.52	0.00	4.76	0.00	0.00	0.00	4.76	0.00	0.00	9.52	0.00	0.00	0.00	0.00	4.76
A hole lot of fear - understanding trypophobia | via @sciencealert https://t.co/9GdI5Bxocz https://t.co/sRvqCA2gjh	HER	99.00	50.00	15.86	1.00	20.00	20.00	0.00	5.00	5.00	0.00	0.00	5.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
#tb to Explode it with Science at this year's festival. Footage courtesy of co-exploders @FizzicsEd https://t.co/6eKBh7zTwq	HER	98.22	50.00	1.00	94.75	11.00	31.82	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Marie and Pierre Curie | by @beatonna https://t.co/8mZ1kbAbyw	HER	92.84	50.00	1.00	25.77	12.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
Adventures in DNA sequencing | via @TakeHomeMessage https://t.co/k4zKdOSQVG https://t.co/oAAxl8fRIo	HER	99.00	50.00	35.37	99.00	16.00	31.25	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
Tomorrow evening Carl Wieman examines scientific ways to teach and learn science  https://t.co/NwTeeTWMC7 https://t.co/1kRQThw3Z1	LER	92.84	50.00	23.51	25.77	24.00	29.17	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
What does the future of medical technology hold? Find out at @thewarrencentre's talk in May https://t.co/CZXKHSkO8E https://t.co/8plWbTKNhf	LER	97.89	65.56	43.37	25.77	12.50	20.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	4.00	0.00
If you know a sweet science project entries for the @austmus Eureka Prizes close May 6. | https://t.co/h4CkUHbt1p https://t.co/RcCqZpy2Uy	LER	92.84	64.99	1.40	99.00	13.00	23.08	7.69	0.00	0.00	0.00	0.00	3.85	0.00	3.85	7.69	0.00	3.85	0.00	0.00	0.00	0.00	3.85	0.00	3.85	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
Tonight Andrew Jacob presents Sydney Observatory's history straight off the top of his dome https://t.co/2NIyeJl5kp https://t.co/8KjF4t4upr	LER	97.65	64.46	15.12	25.77	27.00	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	3.70	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00
This week in Science! Via @Futurism https://t.co/ovIf8WdMTF	LER	98.22	50.00	99.00	25.77	5.50	27.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	9.09
Can you think yourself into a different person? | via @HuffingtonPost https://t.co/2OHBDmWuaH https://t.co/amSkuJpFZT	LER	92.84	97.69	43.37	25.77	10.00	25.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	5.00	0.00
This has us cooing - pigeons are uncommonly good at finding cancer cells | via @ScienceDaily https://t.co/nI8pDfpySE	LER	63.17	85.38	19.27	97.58	19.00	26.32	5.26	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	5.26	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
19th-century artists imagined life in the YEAR TWO THOUSAND (fact: we have aquacroquet now) https://t.co/71NxDX1VNC	LER	86.96	82.96	68.01	25.77	21.00	23.81	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00
Frankenstein. Stem Cells. 10 McRib sandwiches. HAS SCIENCE GONE TOO FAR? https://t.co/Mmz8za96r6	LER	71.61	50.00	7.84	25.77	3.20	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	6.25	0.00
