Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Li-fi  internet 100 times faster than Wi-fi  arrives in the real world | via @sciencealert https://t.co/q2coUOdEoG https://t.co/aDjuKMjljQ	HER	has_photo	99.00	35.01	83.83	25.77	26.00	19.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00
We asked @lisaharveysmith how well she knows her ska bands. (We may have misunderstood her area of expertise) https://t.co/B5MY38FDDk	HER	has_video	9.17	99.00	1.00	93.61	11.50	17.39	4.35	0.00	0.00	0.00	0.00	8.70	4.35	0.00	4.35	0.00	0.00	0.00	0.00	0.00	8.70	0.00	4.35	0.00	0.00	0.00	4.35	0.00	4.35	0.00	0.00	0.00
ICYMI  Adam from Mythbusters built a bomb out of screaming ducks and it's as gloriously weird as you'd expect https://t.co/EpAJ906XCj	HER	has_video	87.83	79.76	1.00	1.00	24.00	16.67	4.17	8.33	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
Packed house at @maasmuseum for Science Says  presented by @TheSciNation https://t.co/2u1ul7vTJF	HER	has_photo	99.00	72.17	1.00	25.77	17.00	23.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00
Looking for a casual night of science chats? Rejoice! @nerdnitesyd is on in Surry Hills in December: https://t.co/X7XA9K8BxO	HER	has_photo	99.00	67.52	61.34	25.77	7.33	27.27	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	4.55	4.55
#tb to Explode it with Science at this year's festival. Footage courtesy of co-exploders @FizzicsEd https://t.co/6eKBh7zTwq	HER	has_video	98.22	50.00	1.00	94.75	11.00	31.82	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Adventures in DNA sequencing | via @TakeHomeMessage https://t.co/k4zKdOSQVG https://t.co/oAAxl8fRIo	HER	has_photo	99.00	50.00	35.37	99.00	16.00	31.25	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
Don't forget! You can see the International Space Station over Sydney tonight at 9:45pm. Look SSW at about 40 degrees.	HER	has_no_media	92.84	68.29	89.63	25.77	7.00	19.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76
This wristband lets you shoot fireballs from your bare hands. I'll take ten  thanks | via @DigitalTrends https://t.co/kzITiZp7fg	HER	has_no_media	54.14	99.00	2.82	95.81	10.50	19.05	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	4.76	0.00	0.00	4.76	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00
More like 100 yes of yes please https://t.co/MzSyW01E8T	HER	has_no_media	99.00	50.00	1.00	99.00	12.00	8.33	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	16.67	0.00	0.00	0.00	0.00
Too much TV as a young adult may impair midlife cognitive function  which explains a lot #thinkingishard https://t.co/uWcja6CPRW	HER	has_no_media	87.28	81.84	2.40	25.77	22.00	27.27	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
60% chance of Killbot Hellscape? I like those odds... | via @xkcdComic https://t.co/c2NcBnzUwp	HER	has_photo	92.84	26.60	7.84	25.77	5.33	25.00	6.25	6.25	0.00	6.25	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	6.25	0.00
Thank you @fakescience for bringing this terrible condition to our attention https://t.co/NqparZ5iol	HER	has_photo	84.57	99.00	7.84	25.77	16.00	37.50	6.25	6.25	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
Never date a physicist | Saturday Morning Breakfast Cereal #smbc https://t.co/QdgJYfPWsG https://t.co/0i6RMtMChm	HER	has_photo	86.59	50.00	43.37	25.77	20.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
