HER (-3.8783321665171706, 'habitat')
HER (-3.5248736844119604, 'homeless')
HER (-3.4790142384872382, 'endalz')
HER (-3.4697721244052611, 'abortion')
HER (-3.3106706499776202, 'rotary')
HER (-3.0920216591554022, 'lgbtq')
HER (-3.0658065663150773, 'animals')
HER (-2.604455645273275, 'homelessness')
HER (-2.5840926170591887, 'nature')
HER (-2.5556149618904271, 'pp')
HER (-2.4820843059161728, 'lgbt')
HER (-2.4157707447988677, 'tpp')
HER (-2.4151251066714141, 'jude')
HER (-2.4151251066714141, 'st jude')
HER (-2.3660677244139094, 'notmycandidate')
HER (-2.316480439673819, 'pray')
HER (-2.2929983154648834, 'hillary')
HER (-2.2817870665826581, 'stand')
HER (-2.228737758553951, 'alzheimer')
HER (-2.2063196563341809, 'volunteerabroad')
HER (-2.1796171341473709, 'gopdebate')
HER (-2.1408569968855748, 'demdebate')
HER (-2.1393069058962224, 'habitatforhumanity')
HER (-2.126066115091668, 'pets')
HER (-2.1037537070641648, 'sotu')
HER (-2.0475288752356322, 'vegan')
HER (-2.0303058379313685, 'polio')
HER (-2.0205936599033638, 'adoption')
HER (-2.0105529290529303, 'saudi')
HER (-1.9873867886508947, 'st')
HER (-1.9567524178108899, 'standwithpp')
HER (-1.9407348739218471, 'million')
HER (-1.9346709972140146, 'pet')
HER (-1.9292856576803419, 'transgender')
HER (-1.9162338604096545, 'nepalearthquake')
HER (-1.9113589899804033, 'mondaymotivation')
HER (-1.9029911285785279, 'trans')
HER (-1.8828255186626981, 'trevorlive')
HER (-1.8469047180682681, 'wewontgoback')
HER (-1.8465261051256683, 'worldwaterday')
HER (-1.8427314770559828, 'tfa25')
HER (-1.8386383092144956, 'hunger')
HER (-1.828984184312211, 'forests')
HER (-1.8284060552092372, 'coal')
HER (-1.818919792303592, 'equality')
HER (-1.8064948836242698, 'worldaidsday')
HER (-1.7980174494957066, 'person')
HER (-1.7867886329837921, 'suicide')
HER (-1.719379489238527, 'protected')
HER (-1.710784690536038, 'selfcare')
HER (-1.7100152426582769, 'msf')
HER (-1.7067790834498207, 'actonclimate')
HER (-1.6968090092350985, 'assange')
HER (-1.6963542884611544, 'wildlife')
HER (-1.6920150462937493, 'animal')
HER (-1.69138524224083, 'matter')
HER (-1.6836920017300789, 'imwithher')
HER (-1.6821330640815677, 'sex')
HER (-1.6805858022060955, 'yemen')
HER (-1.6673985052359923, 'planet')
HER (-1.6612193896438534, 'housing')
HER (-1.658489979411949, 'solidarity')
HER (-1.6583557495072823, 'solar')
HER (-1.6558724237168156, 'home')
HER (-1.6509409099222194, 'good news')
HER (-1.6471334498109289, '000')
HER (-1.6407397302878932, 'breaking')
HER (-1.6240475916870152, 'death')
HER (-1.6147457564535124, 'trevor')
HER (-1.6095528337942573, 'stop')
HER (-1.595790783154871, 'askdrkasich')
HER (-1.5937862678042085, 'adoptions')
HER (-1.590251232382037, 'art')
HER (-1.5874553498161823, 'brantly')
HER (-1.5871038978638949, 'blackpantherspbs')
HER (-1.585933770538382, 'release')
HER (-1.5811275625778474, 'fracking')
HER (-1.5799719257350853, 'ppact4hillary')
HER (-1.5779475614947773, 'happytail')
HER (-1.5683938129249493, 'cop21')
HER (-1.5660102773004621, 'god')
HER (-1.5629609745389177, 'kids like')
HER (-1.5576686265984077, 'paris')
HER (-1.5549744142845336, 'safe')
HER (-1.5529834299373579, 'protect')
HER (-1.5519781818023004, 'oceans')
HER (-1.5509397494772632, 'families')
HER (-1.5496842977832201, 'awareness')
HER (-1.5386893349070159, 'homes')
HER (-1.5374694616587201, 'bhm')
HER (-1.5337650691841977, 'adoptnc')
HER (-1.5313353881055698, 'relief')
HER (-1.5298215859554236, 'easter')
HER (-1.5289484098774651, 'plastic')
HER (-1.519601697482895, 'access')
HER (-1.5190105482211498, 'anti')
HER (-1.5185117393036791, 'doyourjob')
HER (-1.5102041578907146, 'stjude')
HER (-1.5057634216735096, 'saudiarabia')
HER (-1.5043882105826039, 'years')
LER (3.6161234846513528, 'socent')
LER (3.237922029672784, 'egfellow')
LER (3.046297867030725, 'skollwf')
LER (2.5564868451626555, 'seizethefuture')
LER (2.4844317303307886, 'impinv')
LER (2.2708918657494741, 'befearless')
LER (2.2463222010136921, 'ent4all')
LER (2.216971930593306, 'sechallenge')
LER (2.2088935520261757, 'socents')
LER (2.1844951392368532, 'bigboldchange')
LER (2.147767474770987, 'mercystreetpbs')
LER (2.0919502559301479, 'cancer')
LER (2.0508181202751459, '86aids')
LER (2.0153734598067801, 'thankstoeducation')
LER (1.9938723213753349, 'entrepreneurs')
LER (1.9747694703008158, 'livestrong')
LER (1.904028568729762, 'kiva')
LER (1.8919374891278908, 'volunteer')
LER (1.8748651917760317, 'video4change')
LER (1.8629534419768907, 'india')
LER (1.8434550727853107, 'tour')
LER (1.8279069718137597, 'nflpink')
LER (1.8122589670037466, 'read')
LER (1.8062997085757204, 'stories')
LER (1.7918007187073488, 'book')
LER (1.77062520922682, 'egfellows')
LER (1.7613038341772458, 'climateaction')
LER (1.7514902616125059, 'panel')
LER (1.7334678537564183, 'questions')
LER (1.7230198914427322, 'social')
LER (1.7104418515294455, 'zerolra')
LER (1.7035408032822454, 'tech')
LER (1.6946627893223623, 'reading')
LER (1.6882495930217709, 'kf25')
LER (1.6802096197508012, 'periscope')
LER (1.6759397792325854, 'fellow')
LER (1.6596177684306284, 'africayouthfwd')
LER (1.6588266762295034, 'kf27')
LER (1.6420680968428003, 'mayoclinicradio')
LER (1.6348164470549047, 'gwconf2015')
LER (1.6016847435046129, 'genderequality')
LER (1.5997014790807222, 'gamingtuesday')
LER (1.5856376311841989, 'kf26')
LER (1.5715385022847894, 'books')
LER (1.5667651185498432, 'witness')
LER (1.5661048630401688, 'entrepreneurship')
LER (1.5653667519318901, 'video')
LER (1.5507148974119593, 'data')
LER (1.5228197651060043, 'befair')
LER (1.5212202899558753, 'donate voice')
LER (1.5184154255113993, 'uganda')
LER (1.505351267309442, 'glad')
LER (1.4885331253815599, 'bbgnbt')
LER (1.485290055519463, 'follow')
LER (1.4702085470694466, 'askacurator')
LER (1.4684251755700302, 'ceo')
LER (1.4558450862686201, 'partners')
LER (1.4540496566073831, 'ashokaatskoll')
LER (1.4479844305870839, 'business')
LER (1.445088205392439, 'program')
LER (1.4268440650536556, 'impact')
LER (1.4183415111285296, 'witnesslive')
LER (1.4130090098344936, 'ctalk')
LER (1.4075752039795464, 'working')
LER (1.4026144044118944, 'linkswelike')
LER (1.3942538934774968, 'blood')
LER (1.390117564601727, 'guatemala')
LER (1.3892549714694993, 'closing')
LER (1.3835035847186181, 'scenes')
LER (1.3802781797404458, 'cc')
LER (1.3791242208913659, 'dispatches')
LER (1.3759290885580755, 'discusses')
LER (1.3646972721508874, 'lendlocal')
LER (1.3635842974539061, 'security')
LER (1.345326656633768, 'give2future')
LER (1.3443526603311629, 'video4justice')
LER (1.3398672277405348, 'socentchat')
LER (1.3258186792255389, 'quiz')
LER (1.324409154491164, 'ff')
LER (1.3142179788764901, 'sxsw')
LER (1.3064356424448247, 'playlist')
LER (1.3042276804687738, 'game')
LER (1.3005626302097357, 'listen')
LER (1.2775156698912449, 'launch')
LER (1.2770023524941772, 'field')
LER (1.2768566275028517, 'discuss')
LER (1.2745721455265533, 'fellowship')
LER (1.2702850744905465, 'austin')
LER (1.2686221118819994, 'exam')
LER (1.2659865278534213, 'lunch')
LER (1.264385753528684, 'videos')
LER (1.2624494014550149, 'literary')
LER (1.2605300466884546, 'entrepreneur')
LER (1.2527652086969734, 'content')
LER (1.2477865548541667, 'blog')
LER (1.2467060867204971, 'changemaker')
LER (1.2378822293721006, 'mcon')
LER (1.2373149353981008, 'marketing')
LER (1.2339299116164548, 'getbeyondbetter')
LER (1.229691881334706, 'exciting')
