HER (-2.6956584387793754, 'posemo_yes')
HER (-2.6684754446727137, 'certain_yes')
HER (-2.3513988733277831, 'risk_yes')
HER (-1.9159539088617581, 'anger_yes')
HER (-1.5875867297337332, 'discrep_yes')
HER (-1.4798375730037643, 'is_tone_no')
HER (-1.1274157413607773, 'differ_yes')
HER (-0.95489365659375247, 'power_yes')
HER (-0.88722750898354208, 'feel_yes')
HER (-0.73568623155729906, 'negemo_yes')
HER (-0.54753600597028096, 'is_analytic_no')
HER (-0.53932288416499086, 'cause_yes')
HER (-0.49184139733332749, 'tentat_yes')
HER (-0.33778909415046937, 'affiliation_yes')
HER (-0.32792726908349867, 'is_analytic_yes')
HER (-0.13010690413617398, 'sad_yes')
HER (-0.073605321981181276, 'is_authentic_yes')
HER (-0.0053315090432065762, 'is_clout_no')
LER (2.3236050008706308, 'is_tone_yes')
LER (2.0239751567456188, 'assent_yes')
LER (1.0980242305036376, 'swear_yes')
LER (0.77438344986145113, 'achieve_yes')
LER (0.70967999481942434, 'is_clout_yes')
LER (0.6347334806465772, 'hear_yes')
LER (0.53624776850945266, 'reward_yes')
LER (0.35449266102095112, 'insight_yes')
LER (0.33571752433073321, 'filler_yes')
LER (0.31270183043592303, 'see_yes')
LER (0.25964882982980403, 'netspeak_yes')
LER (0.17003807141472407, 'is_authentic_no')
LER (0.0083361416354327429, 'nonflu_yes')
LER (0.0038197186688123902, 'anx_yes')
