 tweet,label
 biden senate hold scotus nomination process ,LER
 live president obama celebrating milwaukee victory healthy communities challenge ,LER
 tune 12 50 et president obama congratulate milwaukee winning healthy communities challenge ,LER
 live president obama highlighting progress american economy ,LER
 tune 55 et president obama speak economic progress recoveryact ,LER
 live president obama delivering statement roosevelt room ,LER
 tune 25 et watch president obama speak supporters springfield illinois ,LER
 live president obama delivering statement economy ,LER
 tune 12 10 et watch president obama speak anniversary lilly ledbetter fair pay act ,LER
 miss deadline getcovered ,LER
 open enrollment period ends sunday talk friends getcovered ,LER
 live president obama speaking conference mayors ,LER
 live president obama speaking detroit progress american auto industry ,LER
 tune 25 et watch president obama highlight economic comeback auto industry ,LER
 shop getcovered ,LER
 read organizers sharing personal stories help stopgunviolence ,LER
 live president obama answering questions youtubeasksobama ,LER
 tune 15 et watch president obama interview popular youtube creators ,LER
 icymi 11 million people enrolled health care plans marketplace far ,LER
 deadline check options today coverage begins february getcovered ,LER
 check biden told group supporters yesterday ,LER
 live president obama holding town hall louisiana progress americans path forward ,LER
 tune 11 05 et watch president obama participate town hall baton rouge louisiana ,LER
 live biden speaking supporters work ahead 2016 ,LER
 fired sotu rsvp hear talk work ahead supporters ,LER
 start new year right way getcovered ,LER
 deadline chip help fund fight progress 2016 ,LER
 entered friend win trip alaska ,LER
 organizers gearing actonclimate communities support work ,LER
 binoculars ready enter chance ofadventure ,LER
 live president obama speaking brady press briefing room ,LER
 tune 50 et watch president obama holds news conference ,LER
 live president obama speaking national counterterrorism center ,LER
 tune 12 15 et watch president obama deliver statement ,LER
 chance adventure miss ,LER
 want view enter chance ,LER
 deadline want coverage start 2016 make sure check options today ,LER
 live president obama speaking naturalization ceremony national archives ,LER
 live president obama delivering statement pentagon ,LER
 tune 12 25 et watch president obama speak pentagon ,LER
 10 uninsured americans qualify financial help getcovered ,LER
 start new year right getcovered ,LER
 watch president obama tells room organizers continue fight climate change actonclimate ,LER
 live president obama delivering remarks event marking 150th anniversary 13th amendment ,LER
 tune 11 50 et watch president obama commemorate 150th anniversary 13th amendment ,LER
 read international climate talks paris important cop21 ,LER
 read united states leading international effort actonclimate ,LER
 read volunteers tennessee making sure access quality affordable health care ,LER
 start cooking week make sure covered getcovered ,LER
 close look inside organizing director summit ,LER
 getting help easy check options getcovered today ,LER
 health care marketplace open limited chance getcovered ,LER
 hundreds hardworking organizers came ofafallsummit drive work forward look ,LER
 read veteran federal chief sustainability officer jon powers actonclimate ,LER
 covered winter check options getcovered ,LER
 make sure check list getcovered ,LER
 president obama explains tpp good american workers middle class ,LER
 got work cut fix broken immigration president obama ofafallsummit ,LER
 organizing skills important president obama ofafallsummit ,LER
 know got work think work president obama ofafallsummit ,LER
 economy growing america cut carbon pollution advanced nation president obama ,LER
 covered 17 million americans far process deficit cut thirds president obama ofafallsummit ,LER
 seen longest streak private sector job creation record happened president obama ofafallsummit ,LER
 figure important communities organize president obama ofafallsummit ,LER
 created movement change denied president obama ofafallsummit ,LER
 good ofa little bit like coming home president obama ofafallsummit ,LER
 live president obama speaking volunteers ofafallsummit ,LER
 yes yes ofafallsummit ,LER
 weekly address president obama discusses important getcovered ,LER
 live president obama delivering statement ,LER
 tpp eliminates 18 000 taxes countries american goods leadontrade ,LER
 american exports means higher paying jobs home tpp ,LER
 level playing field americans compete world president obama leadontrade ,LER
 negotiations tpp complete text available online leadontrade ,LER
 finding plan fits needs easy check options getcovered ,LER
 vocal minority derail bipartisan budget deal let happen support ,LER
 update issues matter gun violence prevention health care enrollment ,LER
 marketplace open shop plan works getcovered ,LER
 live president obama speaking entry process incarcerated individuals ,LER
 tune 20 et watch president obama speak rehabilitation reintegration criminaljusticereform ,LER
 happened 35 passionate student organizers came learn improve impact ,LER
 nearly 10 uninsured americans eligible financial help check options getreadygetcovered ,LER
 open enrollment getreadygetcovered ,LER
 health care marketplace open check options getcovered ,LER
 miss chance getcovered ,LER
 weekly address president obama calls meaningful criminal justice reform ,LER
 miss getcovered ,LER
 passionate student organizers came campus organizing summit ,LER
 read op ed science data helping focus long term costs climate change ,LER
 open enrollment right corner getcovered ,LER
 live president obama speaking international association chiefs police conference exposition ,LER
 et watch president obama address international association chiefs police chicago ,LER
 live president obama welcoming celebrate world cup victory shebelieves ,LER
 live president obama hosting panel white house criminal justice reform ,LER
 organizers new mexico working make sure people communities affordable care read ,LER
 live president obama west virginia hosting community discussion drug abuse ,LER
 tune 20 et watch president obama host community forum drug abuse ,LER
 eighty companies support global agreement actonclimate ,LER
 icymi yesterday marked official adoption irandeal ,LER
 diali came develop digital content production skills continue career organizing read ,LER
 coal mining companies supporting international deal actonclimate deniers board ,LER
 live president obama speaking celebration hispanic heritage month ,LER
 tune 45 et watch president obama speak event celebrating hispanic heritage month ,LER
 representatives stand basic science climate change actonclimate ,LER
 hundreds organizers recently gathered new mexico celebrate progress health care reform read ,LER
 read thinks tpp good manufacturing boost products madeinamerica ,LER
 washington governor christine gregoire tpp help protect environment ,LER
 expanding medicaid practical right thing peopleoverpolitics ,LER
 weekly address president obama discusses tpp american workers ,LER
 check volunteers making difference gun violence community dosomething ,LER
 look important recent stories gun violence prevention dosomething ,LER
 live president obama speaking summit worker voice ,LER
 volunteer reflects trainings received helped land dream job ,LER
 stand american workers add agree leadontrade ,LER
 tpp establishes highest labor standards trade agreement history ,LER
 goods sold abroad higher paying jobs supported home reason leadontrade ,LER
 add support progressive trade deal nation history leadontrade ,LER
 years going strong happyanniversary ,HER
 weekly address president obama urges congress pass real budget ,LER
 guest fly meet president enter chance ,LER
 enter midnight bff meet president fall ,LER
 enter meet president obama fall ,LER
 movement started grassroots supporters like help going chip today ,LER
 watch viceonhbo clip president obama historic visit federal prison ,LER
 miss chance meet president obama fall enter ,LER
 change starts people working read volunteers tucson organizing make change reality ,LER
 squadgoals upgrade enter meet president obama ,LER
 read volunteers tucson working hard bring change community ,LER
 live president obama speaking white house screening documentary criminal justice reform ,LER
 uninsured rate continues fall accident read obamacare making difference ,LER
 live president obama speaking group business leaders ,LER
 live president obama hosting town hall college access affordability high school students ,LER
 tune 40 et watch president obama discuss college affordability high school students iowa ,LER
 live president obama discuss administration plan expand collegeopportunity ,LER
 tune 40 et watch president obama speak michigan expanding collegeopportunity ,LER
 facts today consequential foreign policy debates irandeal ,LER
 check secretary state op ed debunking myths surrounding irandeal ,LER
 live president obama speaking greater boston labor council laborday breakfast ,LER
 deadline today chance support updated overtime rules fixovertime ,LER
 read crucial fixovertime protections millions working families ,LER
 read secretary state albright say irandeal ,LER
 giving organizers country training management skills need succeed ,LER
 read thoughts vital congress stand irandeal ,LER
 professional fellows learned skills help fighting issues matter ,LER
 tune 55 et watch president obama discuss katrina10 rebirth new orleans ,LER
 meet alexa supporter knows better fight progress ,LER
 organizer sharing story continuing fight women rights ,LER
 fellows fighting progress building new digital organizing skills read ,LER
 want join conversation irandeal add information ,LER
 live president obama speaking national clean energy summit nces8 ,LER
 tune et watch president obama speak national clean energy summit las vegas nces8 ,LER
 young organizer turning outrage gender wage gap action ,LER
 follow new letters president obama tumblr starting letter thanking president obamacare ,LER
 fight facts ,LER
 jon traveled 000 miles change conversation climate change read actonclimate ,LER
 read jon 000 mile journey fight climate change actonclimate ,LER
 expanding overtime protections benefit millions families add voice support fixovertime ,LER
 read stories working moms need fixovertime ,LER
 read expanding overtime protections help millions americans women particular fixovertime ,LER
 check president obama answers tough questions irandeal interview ,LER
 president took readers questions irandeal interview check ,LER
 economy improving work read latest jobs report ,LER
 read clean power plan vital fight climate change actonclimate ,LER
 members congress reflect pending decision urge set aside political considerations president obama irandeal ,LER
 americans proud achievement president obama irandeal ,LER
 carefully examine arguments deal stand scrutiny president obama irandeal ,LER
 iran violates deal ample opportunity respond president obama irandeal ,LER
 choice face ultimately diplomacy sort war president obama irandeal ,LER
 walk away agreement better deal iran president obama irandeal ,LER
 say walk away deal maintain sanctions selling fantasy president obama irandeal ,LER
 continue sanctions place iran support terrorism violation human rights president obama irandeal ,LER
 scenario sanctions relief turns iran region dominate power president obama irandeal ,LER
 argument sanctions relief effectively argument diplomatic solution president obama irandeal ,LER
 deal scenarios critics warn happening 15 years happen months president obama ,LER
 line iran cheats catch president obama irandeal ,LER
 deal best choice alternatives strongest non proliferation agreement president obama ,LER
 iran violates agreement decade sanctions snap place president obama irandeal ,LER
 iran powerful incentives commitments president obama irandeal ,LER
 deal shuts type covert program iran pursued past president obama irandeal ,LER
 july reached comprehensive plan action meets objectives president obama irandeal ,LER
 proclaimed historic mistake held success president obama irandeal ,LER
 progress iran nuclear program halted decade president obama irandeal ,LER
 diplomacy ratcheted pressure iran president obama irandeal ,LER
 winning global buy easy know president obama irandeal ,LER
 new approach effective ability draw new security council resolutions president obama irandeal ,LER
 willingness negotiate helped america rally world cause president obama irandeal ,LER
 clear preference peaceful diplomatic resolution issue president obama irandeal ,LER
 taking office clear iran allowed acquire nuclear weapon watch president obama irandeal ,LER
 question prevent iran obtaining nuclear weapon president obama irandeal ,LER
 need clear thinking foreign policy president obama irandeal ,LER
 live president obama speaking importance irandeal ,LER
 tune 11 20 et watch president obama discuss historic irandeal ,LER
 tune 15 et watch president obama discuss importance clean power plan actonclimate ,LER
 country volunteers making difference fight raisethewage ,LER
 read training generation digital organizers ofafellows ,LER
 join team spreading truth important issues ,LER
 weekly address president obama discusses progress wall street reform ,LER
 questions historic irandeal follow information updates ff ,LER
 live president speaking 25th anniversary americans disabilities act ,LER
 tune 00 et watch president speak 25th anniversary americans disabilities act ,LER
 read congressmen believe obamacare working ,LER
 tune 45 et watch president obama speak ensuring internet access americans ,LER
 live president obama speaking irandeal ,LER
 cause bringing people houses congress president obama ,LER
 progress work president obama naacp106 ,LER
 naacp president obama ,LER
 live president speaking criminal justice reform national convention naacp106 ,LER
 tune 05 et watch president obama deliver remarks national convention naacp106 ,LER
