is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_analytic_no is_authentic_yes cause_yes affiliation_yes netspeak_yes has_url  architecture bring syria 
is_analytic_yes is_clout_yes is_authentic_no affiliation_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  join facebook live conversation podcasts storytelling tedsummit 
is_clout_yes cause_yes affiliation_yes risk_yes netspeak_yes high_wps has_hashtag has_url  join facebook live chat protect data tedsummit 
is_analytic_yes is_clout_yes affiliation_yes risk_yes netspeak_yes high_wps has_hashtag has_url  join facebook live chat refugee crisis tedsummit withrefugees 
is_clout_yes is_authentic_yes posemo_yes cause_yes affiliation_yes netspeak_yes high_wps has_hashtag has_url  join facebook live modern technology changing love tedsummit 
is_analytic_yes is_clout_yes is_authentic_yes posemo_yes affiliation_yes netspeak_yes has_exclam has_hashtag has_url  join facebook live future romantic relationships tedsummit 
is_analytic_yes is_clout_yes affiliation_yes netspeak_yes few_sixltr has_exclam has_hashtag has_url  join facebook live social media impact elections tedsummit 
is_authentic_yes insight_yes cause_yes affiliation_yes achieve_yes few_sixltr has_hashtag  going long figure pigs wings crispr gene editing progress tedsummit 
is_analytic_yes affiliation_yes power_yes netspeak_yes few_sixltr high_wps has_hashtag has_url  join facebook live drug policy reformer tedsummit 
is_analytic_yes is_clout_yes posemo_yes cause_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps has_hashtag has_url  join facebook live better conversations tedsummit 
is_analytic_yes is_clout_yes is_authentic_no hear_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  join facebook live conversation ted speaker coach gina barnett tedsummit 
is_analytic_yes is_clout_yes is_authentic_no hear_yes affiliation_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  join ted head curator twitter chat public speaking bizchat 
is_analytic_yes is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes affiliation_yes few_sixltr high_wps has_exclam none  join facebook 12 30 pm est conversation host wisdom making coffee 
is_clout_yes is_tone_yes posemo_yes certain_yes see_yes affiliation_yes netspeak_yes low_wps has_url  hidden mathematical truths permeate physical world 
is_authentic_no affiliation_yes achieve_yes netspeak_yes has_photo has_hashtag has_url  ted talks celebrate loveislove 
is_analytic_yes posemo_yes affiliation_yes netspeak_yes few_sixltr high_wps has_photo has_url  sci fi vision love 318 year old hologram 
is_analytic_yes is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes few_sixltr has_url  ode rebel designers 
is_clout_yes posemo_yes negemo_yes affiliation_yes achieve_yes netspeak_yes many_sixltr has_url  strange new challenge burying dead 
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes cause_yes see_yes affiliation_yes netspeak_yes few_sixltr has_url  funny strange look bury dead 
cause_yes netspeak_yes few_sixltr has_url  spot fad diet 
insight_yes tentat_yes netspeak_yes few_sixltr high_wps has_photo has_url  16 objects pawn shop 2050 
is_analytic_no is_authentic_yes cause_yes affiliation_yes power_yes netspeak_yes has_photo has_url  afghan troop levels changed 
