HER (-1.0614987528142343, 'assent_yes')
HER (-0.61700250281742453, 'anx_yes')
HER (-0.58077436280373329, 'is_analytic_no')
HER (-0.57206036709079333, 'is_clout_no')
HER (-0.50035990691369703, 'certain_yes')
HER (-0.4960495237083003, 'anger_yes')
HER (-0.28609160947444529, 'is_authentic_no')
HER (-0.20018807019554338, 'power_yes')
HER (-0.082783377279873893, 'achieve_yes')
HER (-0.054849723543424822, 'differ_yes')
HER (-0.054499922572747064, 'is_tone_yes')
HER (-0.03772135097549708, 'discrep_yes')
HER (-0.02219429519446256, 'feel_yes')
HER (-0.021245375510573563, 'swear_yes')
LER (1.3709664937397752, 'nonflu_yes')
LER (1.0764069429631564, 'affiliation_yes')
LER (0.98194209060709803, 'hear_yes')
LER (0.79194561264994046, 'reward_yes')
LER (0.6967482224865148, 'sad_yes')
LER (0.61610377386717763, 'see_yes')
LER (0.57278218396275382, 'is_analytic_yes')
LER (0.41430563485433519, 'is_tone_no')
LER (0.3891047268006147, 'cause_yes')
LER (0.34993109084816926, 'negemo_yes')
LER (0.31828732221248218, 'is_clout_yes')
LER (0.30997279702463892, 'risk_yes')
LER (0.24010208536914548, 'tentat_yes')
LER (0.22642815490144838, 'filler_yes')
LER (0.18407669743067831, 'insight_yes')
LER (0.14355703072407827, 'is_authentic_yes')
LER (0.14245931976107948, 'posemo_yes')
