user,created_time,tweet_id,followers,following,retweet,favourite,has_media,message
SydScienceFest,Wed Aug 19 09:58:44 +0000 2015,633941156909330432,671,645,0,0,has_no_media,@ad_mico Must be geeky.  Pre-req geeky.
SydScienceFest,Mon Aug 17 09:36:23 +0000 2015,633210757732143104,671,645,1,0,has_no_media,DK:  People will always get annoyed though.  I think @ABCmediawatch is actually having a go at me tonight. #askdrkarl #sydsciencefest
SydScienceFest,Sat Aug 22 04:46:11 +0000 2015,634949666115731460,671,645,0,0,has_no_media,AND  @ad_mico  @peter_rohde  @AWaardenberg  and @all_isee #sydsciencefest
SydScienceFest,Sun Aug 16 05:40:39 +0000 2015,632789043525255168,671,645,0,0,has_no_media,@MakerFaireSYD Preemptive use of the term "finishes up"!
SydScienceFest,Sun Aug 16 04:35:51 +0000 2015,632772737547702273,671,645,0,1,has_no_media,@Isab3lCortes Hi Isabel - its basically any kind of DIYbio anyone can do (within reason). Check out @thebiofoundry or @biocuriouslab for EGs
SydScienceFest,Thu Aug 13 02:46:46 +0000 2015,631658119651680256,671,645,0,0,has_no_media,@AstroCate @maasmuseum do it
SydScienceFest,Sat Aug 15 05:50:27 +0000 2015,632429121142845440,671,645,3,2,has_video,Robot destruction brings such great glee #sydsciencefest #robots @maasmuseum @MakerFaireSYD http://t.co/QbOmNjESJh
SydScienceFest,Sun Aug 16 05:46:14 +0000 2015,632790447698546688,671,645,0,0,has_no_media,@MakerFaireSYD absolutely nothing!
SydScienceFest,Thu Aug 13 07:46:41 +0000 2015,631733598094098432,671,645,0,0,has_no_media,Director @RoseHiscock is introducing the opening night of #sydsciencefest tonight at the @maasmuseum
SydScienceFest,Sat Feb 06 07:16:11 +0000 2016,695868573743476736,671,645,7,7,has_photo,#inspirational | via @twisteddoodles https://t.co/7LySiVCZer
SydScienceFest,Thu Aug 13 08:30:52 +0000 2015,631744717995159552,671,645,0,0,has_photo,Ruben Meerman (@surfnscientist) about to start a few experiments #ssf15 http://t.co/IvaryUj3IR
