Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,total,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media clicks,media engagement
https://twitter.com/SydScienceFest/status/633941156909330432,@ad_mico Must be geeky.  Pre-req geeky.,2015-08-19 09:58 +0000,53,21,0.396226415,0,0,0,,5,0,0,16,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/633210757732143104,DK:  People will always get annoyed though.  I think @ABCmediawatch is actually having a go at me tonight. #askdrkarl #sydsciencefest,2015-08-17 09:36 +0000,546,178,0.326007326,1,0,0,,23,0,3,151,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/634949666115731460,AND  @ad_mico  @peter_rohde  @AWaardenberg  and @all_isee #sydsciencefest,2015-08-22 04:46 +0000,55,10,0.181818182,0,0,0,,5,0,0,5,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/632789043525255168,"@MakerFaireSYD Preemptive use of the term ""finishes up""!",2015-08-16 05:40 +0000,36,6,0.166666667,0,1,0,,1,0,0,4,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/632772737547702273,@Isab3lCortes Hi Isabel - its basically any kind of DIYbio anyone can do (within reason). Check out @thebiofoundry or @biocuriouslab for EGs,2015-08-16 04:35 +0000,52,8,0.153846154,0,0,1,,2,0,0,5,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/631658119651680256,@AstroCate @maasmuseum do it,2015-08-13 02:46 +0000,37,5,0.135135135,0,0,0,,1,0,0,4,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/632429121142845440,Robot destruction brings such great glee #sydsciencefest #robots @maasmuseum @MakerFaireSYD http://t.co/QbOmNjESJh,2015-08-15 05:50 +0000,668,77,0.115269461,3,0,2,,1,0,0,3,0,0,0,0,0,68,0,0
https://twitter.com/SydScienceFest/status/632790447698546688,@MakerFaireSYD absolutely nothing!,2015-08-16 05:46 +0000,35,4,0.114285714,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/631733598094098432,Director @RoseHiscock is introducing the opening night of #sydsciencefest tonight at the @maasmuseum,2015-08-13 07:46 +0000,62,6,0.096774194,0,0,0,,3,0,0,3,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/695868573743476736,#inspirational | via @twisteddoodles https://t.co/7LySiVCZer,2016-02-06 07:16 +0000,1033,90,0.087124879,7,0,7,14,5,8,0,14,0,0,0,0,0,0,49,49
https://twitter.com/SydScienceFest/status/631744717995159552,Ruben Meerman (@surfnscientist) about to start a few experiments #ssf15 http://t.co/IvaryUj3IR,2015-08-13 08:30 +0000,92,8,0.086956522,0,1,0,,0,0,1,3,0,0,0,0,0,3,0,0
https://twitter.com/SydScienceFest/status/702753899921416192,VIDEO: Tardigrades wake up from being frozen for 30 years  blearily ask for a strong latte | https://t.co/Q63PRUUs6w https://t.co/xqA1JutoEt,2016-02-25 07:16 +0000,183,15,0.081967213,0,0,2,2,0,3,0,10,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/631996152536174592,Great to see so many school groups and kids enthusiastic about space and astronomy at the @maasmuseum today #ssf15,2015-08-14 01:09 +0000,50,4,0.08,0,0,0,,2,0,0,2,0,0,0,0,0,0,0,0
https://twitter.com/SydScienceFest/status/634949635409248257,For our Great Debate today  we have @phatmattbaker  Darren Curnoe  @josiendebie  @lisaharveysmith.... #sydsciencefest,2015-08-22 04:46 +0000,77,6,0.077922078,0,0,0,,4,0,0,2,0,0,0,0,0,0,0,0
