HRT (-14.918551587465544, 'has_photo')
HRT (-9.3435777542698233, 'has_animated_gif')
HRT (-3.5484688857256175, 'has_video')
HRT (-3.0350467008895579, 'has_hashtag')
HRT (-1.2814715066411648, 'certain_yes')
HRT (-0.98291571784546083, 'negemo_yes')
HRT (-0.91021652657148078, 'see_yes')
HRT (-0.89158809558623098, 'anger_yes')
HRT (-0.84303316189574229, 'swear_yes')
HRT (-0.82242643004909166, 'differ_yes')
HRT (-0.77865359035786719, 'is_analytic_no')
HRT (-0.76627022948152812, 'posemo_yes')
HRT (-0.75392702407296308, 'low_wps')
HRT (-0.69787167036884812, 'discrep_yes')
HRT (-0.5827680089305326, 'filler_yes')
HRT (-0.55038031617442718, 'insight_yes')
HRT (-0.53582004507932712, 'is_authentic_yes')
HRT (-0.52535545309485387, 'feel_yes')
HRT (-0.448153493078779, 'few_sixltr')
HRT (-0.44073304608962272, 'is_clout_no')
HRT (-0.24922764496580532, 'affiliation_yes')
HRT (-0.19873892542796712, 'hear_yes')
HRT (-0.14807667540374281, 'tentat_yes')
LRT (4.1500526600395968, 'has_url')
LRT (3.9293248645612686, 'netspeak_yes')
LRT (0.6943380459498395, 'many_sixltr')
LRT (0.61395668591095609, 'assent_yes')
LRT (0.57196011896067189, 'is_clout_yes')
LRT (0.47920880889556916, 'has_qmark')
LRT (0.24662899695079177, 'is_tone_no')
LRT (0.052273551846084967, 'is_tone_yes')
