achieve_yes
achieve_yes few_sixltr
achieve_yes few_sixltr has_exclam
achieve_yes few_sixltr has_hashtag
achieve_yes few_sixltr has_qmark
achieve_yes few_sixltr high_wps
achieve_yes few_sixltr low_wps
achieve_yes has_hashtag
achieve_yes high_wps
achieve_yes high_wps has_hashtag
achieve_yes low_wps
achieve_yes low_wps has_exclam
achieve_yes low_wps has_hashtag
achieve_yes low_wps has_qmark
achieve_yes many_sixltr
achieve_yes many_sixltr has_hashtag
achieve_yes many_sixltr high_wps
achieve_yes many_sixltr low_wps
achieve_yes netspeak_yes
achieve_yes netspeak_yes assent_yes
achieve_yes netspeak_yes few_sixltr
achieve_yes netspeak_yes has_exclam
achieve_yes netspeak_yes has_hashtag
achieve_yes netspeak_yes has_photo
achieve_yes netspeak_yes has_qmark
achieve_yes netspeak_yes has_url
achieve_yes netspeak_yes high_wps
achieve_yes netspeak_yes low_wps
achieve_yes netspeak_yes many_sixltr
achieve_yes netspeak_yes nonflu_yes
achieve_yes power_yes
achieve_yes power_yes few_sixltr
achieve_yes power_yes has_exclam
achieve_yes power_yes has_hashtag
achieve_yes power_yes has_qmark
achieve_yes power_yes high_wps
achieve_yes power_yes low_wps
achieve_yes power_yes many_sixltr
achieve_yes power_yes netspeak_yes
achieve_yes power_yes reward_yes
achieve_yes power_yes risk_yes
achieve_yes reward_yes
achieve_yes reward_yes few_sixltr
achieve_yes reward_yes has_exclam
achieve_yes reward_yes has_hashtag
achieve_yes reward_yes high_wps
achieve_yes reward_yes low_wps
achieve_yes reward_yes many_sixltr
achieve_yes reward_yes netspeak_yes
achieve_yes reward_yes risk_yes
achieve_yes risk_yes
achieve_yes risk_yes few_sixltr
achieve_yes risk_yes has_hashtag
achieve_yes risk_yes many_sixltr
achieve_yes risk_yes netspeak_yes
affiliation_yes
affiliation_yes achieve_yes
affiliation_yes achieve_yes few_sixltr
affiliation_yes achieve_yes has_hashtag
affiliation_yes achieve_yes high_wps
affiliation_yes achieve_yes low_wps
affiliation_yes achieve_yes many_sixltr
affiliation_yes achieve_yes netspeak_yes
affiliation_yes achieve_yes power_yes
affiliation_yes achieve_yes reward_yes
affiliation_yes achieve_yes risk_yes
affiliation_yes assent_yes
affiliation_yes assent_yes few_sixltr
affiliation_yes few_sixltr
affiliation_yes few_sixltr has_exclam
affiliation_yes few_sixltr has_hashtag
affiliation_yes few_sixltr high_wps
affiliation_yes few_sixltr low_wps
affiliation_yes has_exclam
affiliation_yes has_exclam has_hashtag
affiliation_yes has_hashtag
affiliation_yes has_qmark
affiliation_yes has_qmark has_hashtag
affiliation_yes high_wps
affiliation_yes high_wps has_exclam
affiliation_yes high_wps has_hashtag
affiliation_yes low_wps
affiliation_yes low_wps has_exclam
affiliation_yes low_wps has_hashtag
affiliation_yes low_wps has_qmark
affiliation_yes many_sixltr
affiliation_yes many_sixltr has_exclam
affiliation_yes many_sixltr has_hashtag
affiliation_yes many_sixltr has_qmark
affiliation_yes many_sixltr high_wps
affiliation_yes many_sixltr low_wps
affiliation_yes netspeak_yes
affiliation_yes netspeak_yes assent_yes
affiliation_yes netspeak_yes few_sixltr
affiliation_yes netspeak_yes has_animated_gif
affiliation_yes netspeak_yes has_exclam
affiliation_yes netspeak_yes has_hashtag
affiliation_yes netspeak_yes has_photo
affiliation_yes netspeak_yes has_qmark
affiliation_yes netspeak_yes has_url
affiliation_yes netspeak_yes has_video
affiliation_yes netspeak_yes high_wps
affiliation_yes netspeak_yes low_wps
affiliation_yes netspeak_yes many_sixltr
affiliation_yes netspeak_yes nonflu_yes
affiliation_yes power_yes
affiliation_yes power_yes assent_yes
affiliation_yes power_yes few_sixltr
affiliation_yes power_yes has_hashtag
affiliation_yes power_yes high_wps
affiliation_yes power_yes low_wps
affiliation_yes power_yes many_sixltr
affiliation_yes power_yes netspeak_yes
affiliation_yes power_yes reward_yes
affiliation_yes power_yes risk_yes
affiliation_yes reward_yes
affiliation_yes reward_yes few_sixltr
affiliation_yes reward_yes has_exclam
affiliation_yes reward_yes has_hashtag
affiliation_yes reward_yes high_wps
affiliation_yes reward_yes low_wps
affiliation_yes reward_yes many_sixltr
affiliation_yes reward_yes netspeak_yes
affiliation_yes reward_yes risk_yes
affiliation_yes risk_yes
affiliation_yes risk_yes few_sixltr
affiliation_yes risk_yes many_sixltr
affiliation_yes risk_yes netspeak_yes
anger_yes
anger_yes achieve_yes
anger_yes achieve_yes netspeak_yes
anger_yes achieve_yes power_yes
anger_yes achieve_yes reward_yes
anger_yes affiliation_yes
anger_yes affiliation_yes achieve_yes
anger_yes affiliation_yes netspeak_yes
anger_yes affiliation_yes power_yes
anger_yes affiliation_yes reward_yes
anger_yes cause_yes
anger_yes cause_yes achieve_yes
anger_yes cause_yes affiliation_yes
anger_yes cause_yes certain_yes
anger_yes cause_yes differ_yes
anger_yes cause_yes discrep_yes
anger_yes cause_yes feel_yes
anger_yes cause_yes netspeak_yes
anger_yes cause_yes power_yes
anger_yes cause_yes see_yes
anger_yes cause_yes tentat_yes
anger_yes certain_yes
anger_yes certain_yes achieve_yes
anger_yes certain_yes affiliation_yes
anger_yes certain_yes differ_yes
anger_yes certain_yes netspeak_yes
anger_yes certain_yes power_yes
anger_yes certain_yes see_yes
anger_yes differ_yes
anger_yes differ_yes affiliation_yes
anger_yes differ_yes hear_yes
anger_yes differ_yes netspeak_yes
anger_yes differ_yes power_yes
anger_yes differ_yes see_yes
anger_yes discrep_yes
anger_yes discrep_yes affiliation_yes
anger_yes discrep_yes certain_yes
anger_yes discrep_yes differ_yes
anger_yes discrep_yes hear_yes
anger_yes discrep_yes power_yes
anger_yes discrep_yes see_yes
anger_yes discrep_yes tentat_yes
anger_yes feel_yes
anger_yes feel_yes achieve_yes
anger_yes feel_yes affiliation_yes
anger_yes hear_yes
anger_yes hear_yes achieve_yes
anger_yes hear_yes affiliation_yes
anger_yes hear_yes power_yes
anger_yes insight_yes
anger_yes insight_yes achieve_yes
anger_yes insight_yes affiliation_yes
anger_yes insight_yes cause_yes
anger_yes insight_yes certain_yes
anger_yes insight_yes differ_yes
anger_yes insight_yes discrep_yes
anger_yes insight_yes feel_yes
anger_yes insight_yes netspeak_yes
anger_yes insight_yes power_yes
anger_yes insight_yes see_yes
anger_yes insight_yes tentat_yes
anger_yes netspeak_yes
anger_yes netspeak_yes assent_yes
anger_yes netspeak_yes few_sixltr
anger_yes netspeak_yes has_exclam
anger_yes netspeak_yes has_photo
anger_yes netspeak_yes high_wps
anger_yes netspeak_yes low_wps
anger_yes netspeak_yes many_sixltr
anger_yes power_yes
anger_yes power_yes many_sixltr
anger_yes power_yes netspeak_yes
anger_yes power_yes reward_yes
anger_yes power_yes risk_yes
anger_yes reward_yes
anger_yes risk_yes
anger_yes risk_yes netspeak_yes
anger_yes sad_yes
anger_yes sad_yes affiliation_yes
anger_yes sad_yes cause_yes
anger_yes sad_yes certain_yes
anger_yes sad_yes differ_yes
anger_yes sad_yes discrep_yes
anger_yes sad_yes insight_yes
anger_yes sad_yes power_yes
anger_yes sad_yes tentat_yes
anger_yes see_yes
anger_yes see_yes achieve_yes
anger_yes see_yes affiliation_yes
anger_yes see_yes netspeak_yes
anger_yes see_yes power_yes
anger_yes see_yes risk_yes
anger_yes tentat_yes
anger_yes tentat_yes achieve_yes
anger_yes tentat_yes affiliation_yes
anger_yes tentat_yes certain_yes
anger_yes tentat_yes differ_yes
anger_yes tentat_yes netspeak_yes
anger_yes tentat_yes power_yes
anger_yes tentat_yes see_yes
anx_yes
anx_yes achieve_yes
anx_yes achieve_yes power_yes
anx_yes affiliation_yes
anx_yes affiliation_yes achieve_yes
anx_yes affiliation_yes netspeak_yes
anx_yes affiliation_yes power_yes
anx_yes anger_yes
anx_yes anger_yes affiliation_yes
anx_yes anger_yes cause_yes
anx_yes anger_yes differ_yes
anx_yes anger_yes discrep_yes
anx_yes anger_yes hear_yes
anx_yes anger_yes insight_yes
anx_yes anger_yes power_yes
anx_yes anger_yes sad_yes
anx_yes anger_yes tentat_yes
anx_yes cause_yes
anx_yes cause_yes affiliation_yes
anx_yes cause_yes certain_yes
anx_yes cause_yes differ_yes
anx_yes cause_yes discrep_yes
anx_yes cause_yes power_yes
anx_yes cause_yes see_yes
anx_yes cause_yes tentat_yes
anx_yes certain_yes
anx_yes certain_yes affiliation_yes
anx_yes certain_yes power_yes
anx_yes differ_yes
anx_yes differ_yes achieve_yes
anx_yes differ_yes affiliation_yes
anx_yes differ_yes risk_yes
anx_yes differ_yes see_yes
anx_yes discrep_yes
anx_yes discrep_yes affiliation_yes
anx_yes discrep_yes certain_yes
anx_yes discrep_yes differ_yes
anx_yes discrep_yes tentat_yes
anx_yes feel_yes
anx_yes hear_yes
anx_yes hear_yes affiliation_yes
anx_yes hear_yes power_yes
anx_yes insight_yes
anx_yes insight_yes affiliation_yes
anx_yes insight_yes cause_yes
anx_yes insight_yes certain_yes
anx_yes insight_yes differ_yes
anx_yes insight_yes discrep_yes
anx_yes insight_yes netspeak_yes
anx_yes insight_yes power_yes
anx_yes insight_yes see_yes
anx_yes insight_yes tentat_yes
anx_yes netspeak_yes
anx_yes netspeak_yes has_video
anx_yes power_yes
anx_yes power_yes netspeak_yes
anx_yes power_yes risk_yes
anx_yes reward_yes
anx_yes reward_yes risk_yes
anx_yes risk_yes
anx_yes risk_yes netspeak_yes
anx_yes sad_yes
anx_yes sad_yes cause_yes
anx_yes sad_yes discrep_yes
anx_yes sad_yes insight_yes
anx_yes sad_yes power_yes
anx_yes see_yes
anx_yes see_yes affiliation_yes
anx_yes see_yes netspeak_yes
anx_yes see_yes power_yes
anx_yes tentat_yes
anx_yes tentat_yes differ_yes
anx_yes tentat_yes power_yes
anx_yes tentat_yes risk_yes
assent_yes
assent_yes few_sixltr
assent_yes few_sixltr has_exclam
assent_yes few_sixltr has_hashtag
assent_yes few_sixltr has_photo
assent_yes few_sixltr has_qmark
assent_yes few_sixltr has_url
assent_yes few_sixltr high_wps
assent_yes few_sixltr low_wps
assent_yes filler_yes
assent_yes has_exclam
assent_yes has_exclam has_animated_gif
assent_yes has_exclam has_hashtag
assent_yes has_exclam has_photo
assent_yes has_exclam has_qmark
assent_yes has_exclam has_url
assent_yes has_exclam has_video
assent_yes has_hashtag
assent_yes has_hashtag has_url
assent_yes has_photo
assent_yes has_photo has_hashtag
assent_yes has_photo has_url
assent_yes has_qmark
assent_yes has_qmark has_hashtag
assent_yes has_qmark has_photo
assent_yes has_qmark has_url
assent_yes has_url
assent_yes high_wps
assent_yes high_wps has_exclam
assent_yes high_wps has_hashtag
assent_yes high_wps has_photo
assent_yes high_wps has_url
assent_yes low_wps
assent_yes low_wps has_exclam
assent_yes low_wps has_hashtag
assent_yes low_wps has_photo
assent_yes low_wps has_qmark
assent_yes low_wps has_url
assent_yes many_sixltr
assent_yes many_sixltr has_exclam
assent_yes many_sixltr has_hashtag
assent_yes many_sixltr has_photo
assent_yes many_sixltr has_qmark
assent_yes many_sixltr has_url
assent_yes many_sixltr high_wps
assent_yes many_sixltr low_wps
assent_yes nonflu_yes
assent_yes nonflu_yes few_sixltr
cause_yes
cause_yes achieve_yes
cause_yes achieve_yes netspeak_yes
cause_yes achieve_yes power_yes
cause_yes achieve_yes reward_yes
cause_yes achieve_yes risk_yes
cause_yes affiliation_yes
cause_yes affiliation_yes achieve_yes
cause_yes affiliation_yes many_sixltr
cause_yes affiliation_yes netspeak_yes
cause_yes affiliation_yes power_yes
cause_yes affiliation_yes reward_yes
cause_yes affiliation_yes risk_yes
cause_yes certain_yes
cause_yes certain_yes achieve_yes
cause_yes certain_yes affiliation_yes
cause_yes certain_yes differ_yes
cause_yes certain_yes feel_yes
cause_yes certain_yes hear_yes
cause_yes certain_yes netspeak_yes
cause_yes certain_yes power_yes
cause_yes certain_yes reward_yes
cause_yes certain_yes see_yes
cause_yes differ_yes
cause_yes differ_yes achieve_yes
cause_yes differ_yes affiliation_yes
