Sun Aug 23 22:45:31 +0000 2015,2,0,RT @JoachimCohen123: Awesome event inspiring #STEM in the classroom @ #ssf15..sad to be sneaking out but walking away inspired! Thx @inspir…
Sat Aug 22 21:50:20 +0000 2015,3,0,RT @JoachimCohen123: Sydney Uni STEM teacher Academy...inspring teachers to get creative with #STEM great work @JudyAnderson6 #ssf15
Sat Aug 22 13:30:27 +0000 2015,3,0,RT @SCBAR: Check out @rocketmatter  @Tabs3software  @MyCaseInc  @goclio &amp; @easysoftUSA at #LPMTECH for free demos and training. http://t.co…
Sat Aug 22 11:52:38 +0000 2015,3,0,RT @SCBar_PMAP: @debbiefoster Top 7 #finance tips every small firm #lawyer needs 2 understand #LPMTECH #SCBar http://t.co/KZMeLVk6eR http:/…
Sat Aug 22 06:05:06 +0000 2015,0,0,"Only 3 weeks till the ""Social Institutions &amp; #Sustainability "" research symposium at @waynestate! Tweet us at #SSF15 http://t.co/COaNPUzerl"
Sat Aug 22 01:45:28 +0000 2015,1,0,RT @SCBar_PMAP: Know what #LPMTECH means? #law #practice #management #technology http://t.co/IyGlWJs3Xl Every #sclawyer uses! http://t.co/I…
Fri Aug 21 19:37:06 +0000 2015,1,1,Know what #LPMTECH means? #law #practice #management #technology http://t.co/IyGlWJs3Xl Every #sclawyer uses! http://t.co/I5vThW36GZ
Fri Aug 21 19:36:16 +0000 2015,0,0,Know what #LPMTECH means? #law #practice #management #technology http://t.co/HBNr6C0ZHf Every #sclawyer uses! http://t.co/CdiR3TWz6R
Fri Aug 21 19:25:12 +0000 2015,0,0,@screenshortfest: Welcoming #every #ShortFilm #maker to our #festival #ssf15 mail us screenshort2015@gmail.com http://t.co/wfwvEcwphl
Fri Aug 21 18:53:27 +0000 2015,0,0,Welcoming #every #ShortFilm #maker to our #festival #ssf15 mail us screenshort2015@gmail.com http://t.co/DEK2sn6mci
Fri Aug 21 18:48:37 +0000 2015,3,0,RT @SCBAR: Check out @rocketmatter  @Tabs3software  @MyCaseInc  @goclio &amp; @easysoftUSA at #LPMTECH for free demos and training. http://t.co…
Fri Aug 21 18:47:19 +0000 2015,3,0,RT @SCBAR: Check out @rocketmatter  @Tabs3software  @MyCaseInc  @goclio &amp; @easysoftUSA at #LPMTECH for free demos and training. http://t.co…
