excelsabiofood,637076364949000192,Fri Aug 28 01:36:56 +0000 2015,35,290,0,0,Good morning..Let's try our kaffa white coffee &amp; unsweetened white coffee.#coffeelovers #coffeeaddicts http://t.co/TapJrRpXfm
lyssamichellem,637076364311461888,Fri Aug 28 01:36:56 +0000 2015,448,388,0,0,I did it  I drank coffee 😔😔😔
ArikAftermath,637076363816665088,Fri Aug 28 01:36:56 +0000 2015,321,161,0,0,Dark coffee. http://t.co/8yb1TnL7Qb
WhattupWINNER,637076348649934850,Fri Aug 28 01:36:52 +0000 2015,494,168,0,0,Eating chicken pie and drinking coffee like a boss  since everyone's going to be late bec of the pain the as* traffic http://t.co/8rEJJ7v466
briipingol,637076348125736960,Fri Aug 28 01:36:52 +0000 2015,242,269,0,0,only time I ever get to see @amybrownlee11 is when I'm filling my iced coffee addiction😢🙈... come work with me
Lovely_Giox3,637076346464804865,Fri Aug 28 01:36:51 +0000 2015,407,418,2,0,RT @Lisvettelorena_: Coffee is liiiifeeee.
_Pure_Imagery,637076331637792768,Fri Aug 28 01:36:48 +0000 2015,333,247,0,0,@teaesperanza yeah you're never allowed to drink coffee and yeah I just changed my Monday class. So now all my classes are Tu/Thurs
Fandoms_4466__,637076328273997825,Fri Aug 28 01:36:47 +0000 2015,10,44,0,0,Getting a coffee soon &lt;333
daytonururu,637076325786759169,Fri Aug 28 01:36:47 +0000 2015,100,141,165,0,RT @TheFunnyWorId: My coffee shop knows what's up... http://t.co/DnjRCZwt92
Gohan15243,637076315523444737,Fri Aug 28 01:36:44 +0000 2015,1323,1065,0,0,I almost put Orange Juice in my coffee.
babyygirljj,637076315145814016,Fri Aug 28 01:36:44 +0000 2015,102,129,0,0,I need coffee in order to finish all of my homework today ☕😔😐
_tvijay,637076315053625344,Fri Aug 28 01:36:44 +0000 2015,337,209,2396,0,RT @ItsFoodPorn: Blackberry coffee cake. http://t.co/iiWwxbQ2QR
juliaespino_,637076314537787392,Fri Aug 28 01:36:44 +0000 2015,685,351,0,0,@_camillelimon you should have said earlier😢 now I'm stuck at coffee room. Pick me up lmfao
gabbytotten,637076310410432512,Fri Aug 28 01:36:43 +0000 2015,602,445,1,0,RT @mattb666420: DAMN GOOD COFFEE
_maihime,637076297072508928,Fri Aug 28 01:36:40 +0000 2015,434,472,0,0,I hope those are available for iPhone too  so Tsune will eventually find it out xD http://t.co/rH5p1aqYad
RajaNaimMalik,637076297018048512,Fri Aug 28 01:36:40 +0000 2015,87,57,10,0,RT @StarbucksMY: #STARBUCKSonTheGo RM10 Triple Coffee Jelly Frappuccino/Green Tea Panna Cotta Frappuccino! Find the CPV at Menara TM! http:…
jadenisnotme,637076289963343872,Fri Aug 28 01:36:38 +0000 2015,33,86,121,0,RT @AverageGoal: Just brewed a cup of coffee from my house  maybe someday i'll be able to go to Starbucks once a week😍😍
monkeyk72,637076284426731520,Fri Aug 28 01:36:37 +0000 2015,177,662,0,0,Hmm now (@ Smelly Cat Coffee House) on #Yelp http://t.co/OSBpEfJmBE
savannahlee24_,637076284087095296,Fri Aug 28 01:36:37 +0000 2015,119,198,0,0,"""Should I kill myself  or have a cup of coffee?"" -Albert Camus"
