Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Sydney Observatory flagstaff in this morning's fog. http://t.co/0AWiXLehta	HER	has_photo	92.84	50.00	23.51	25.77	6.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00
Observations blog: Daily cosmobite: around the galaxy - The Earth goes around the Sun once a year. The Sun itself ... http://t.co/nL6CnNzIU5	LER	has_no_media	99.00	50.00	99.00	25.77	8.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
@redtwitdown Would a combination make a smelly sulphur rich piece of wearable art science? Maybe we could get a grant for that!	LER	has_no_media	92.84	81.84	1.00	94.75	11.00	22.73	4.55	0.00	0.00	0.00	0.00	0.00	4.55	9.09	4.55	0.00	0.00	0.00	0.00	0.00	4.55	0.00	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	4.55	4.55
Is this a (a) a designer metal brooch  (b) colourful camembert cheese or (c) Io  a Moon of Jupiter in true colour? http://t.co/dBkyaEKi9U	HER	has_no_media	98.75	35.54	1.22	88.52	13.50	18.52	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	3.70	3.70	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	3.70	0.00
The red planet Mars is visible tonight in Virgo. Stargazing with my iPad via @StarWalk app http://t.co/wPsP8FVp0g http://t.co/9KLurGsM0d	HER	has_photo	97.65	35.54	15.12	25.77	13.50	22.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	0.00	0.00
Seeing the 1892 Howard Grubb Astrographic Telescope reassembled after 38 years bought a watery drop to my lens. http://t.co/n0Ik3kqKSi	HER	has_photo	99.00	33.19	27.39	25.77	11.50	17.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00
Observations blog: End of daylight saving means end of dark mornings http://t.co/97yUM8MV8o	HER	has_no_media	98.75	50.00	87.07	25.77	18.00	16.67	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00
Observations blog: Daily cosmobite: ethanol on the Moon - Scientists have suspected that there is water ice in p... http://t.co/5pWwPXt0bw	HER	has_no_media	87.83	50.00	23.51	25.77	12.00	25.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00
Presenting DORIS (Doppler Orbitography and Radiopositioning Integrated by Satellite)  she measures glacial flow http://t.co/95q5r7qDhA	HER	has_no_media	86.59	69.14	1.00	25.77	20.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
Descriptive and handy astronomical definitions at our fingertips!  http://t.co/6uo8KyqWDD	LER	has_no_media	83.00	92.33	1.06	25.77	7.00	35.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	7.14	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	7.14
